year,category_id,order_count,refund_order_count,refund_rate
2023,100004,5189,574,11.06
2023,100006,619,61,9.85
2023,100030,3522,337,9.57
2023,100031,2053,183,8.91
2023,100033,184,16,8.70
2023,100037,349,33,9.46
2023,100051,2184,241,11.03
2023,100053,324,32,9.88
2023,100057,1145,110,9.61
2023,100063,2332,232,9.95
2023,100070,25,3,12.00
2023,100073,1796,188,10.47
2023,100077,7,0,0.00
2023,100078,1095,115,10.50
2023,100079,638,59,9.25
2023,100082,362,42,11.60
2023,100083,1267,117,9.23
2023,100085,5876,538,9.16
2023,100088,1809,166,9.18
2023,100091,1055,113,10.71
2023,100094,1323,154,11.64
2023,100095,1011,87,8.61
2023,100096,454,40,8.81
2023,100097,403,47,11.66
2023,100098,407,40,9.83
2023,100099,282,25,8.87
2023,100100,1707,197,11.54
2023,100101,1442,170,11.79
2023,100103,121,14,11.57
2023,100104,446,41,9.19
2023,100106,547,45,8.23
2023,100107,347,36,10.37
2023,100108,364,36,9.89
2023,100109,307,25,8.14
2023,100110,1236,129,10.44
2023,100112,2932,247,8.42
2023,100113,1186,94,7.93
2023,100115,194,22,11.34
2023,100121,442,54,12.22
2023,100122,370,44,11.89
2023,100124,1423,145,10.19
2023,100125,657,69,10.50
2023,100126,92,6,6.52
2023,100128,1110,127,11.44
2023,100132,275,34,12.36
2023,100134,2687,266,9.90
2023,100135,295,19,6.44
2023,100137,910,79,8.68
2023,100150,69,6,8.70
2023,100151,782,77,9.85
2023,100152,213,24,11.27
2023,100154,2901,267,9.20
2023,100156,257,25,9.73
2023,100158,2816,259,9.20
2023,100159,807,78,9.67
2023,100163,296,32,10.81
2023,100164,672,77,11.46
2023,100165,279,29,10.39
2023,100167,1126,107,9.50
2023,100168,736,68,9.24
2023,100169,358,46,12.85
2023,100170,1636,148,9.05
2023,100172,1061,113,10.65
2023,100173,877,82,9.35
2023,100174,235,23,9.79
2023,100177,1308,119,9.10
2023,100179,878,78,8.88
2023,100183,6,1,16.67
2023,100185,678,53,7.82
2023,100186,220,22,10.00
2023,100188,1788,178,9.96
2023,100190,290,37,12.76
2023,100192,277,23,8.30
2023,100194,491,45,9.16
2023,100195,1228,118,9.61
2023,100197,2384,248,10.40
2023,100198,1693,160,9.45
2023,100203,249,23,9.24
2023,100206,10,0,0.00
2023,100207,1984,208,10.48
2023,100210,967,89,9.20
2023,100212,283,30,10.60
2023,100213,930,78,8.39
2023,100214,2004,235,11.73
2023,100215,350,33,9.43
2023,100217,909,93,10.23
2023,100222,4698,469,9.98
2023,100223,288,37,12.85
2023,100225,1552,150,9.66
2023,100226,2299,225,9.79
2023,100227,1354,126,9.31
2023,100228,1355,106,7.82
2023,100240,1660,162,9.76
2023,100246,3950,402,10.18
2023,100254,80,11,13.75
2023,100258,252,28,11.11
2023,100261,3127,291,9.31
2023,100263,1487,138,9.28
2023,100267,2055,172,8.37
2023,100270,3521,373,10.59
2023,100273,1816,184,10.13
2023,100285,987,102,10.33
2023,100286,253,24,9.49
2023,100289,2636,265,10.05
2023,100295,1417,141,9.95
2023,100296,438,48,10.96
2023,100298,1816,156,8.59
2023,100300,2203,227,10.30
2023,100302,1746,185,10.60
2023,100305,1061,115,10.84
2023,100306,1939,174,8.97
2023,100307,1451,144,9.92
2023,100308,2182,238,10.91
2023,100309,858,80,9.32
2023,100310,5234,526,10.05
2023,100315,1151,108,9.38
2023,100323,1738,192,11.05
2023,100325,1793,177,9.87
2023,100334,19,0,0.00
2023,100338,278,31,11.15
2023,100343,603,55,9.12
2023,100349,1194,112,9.38
2023,100353,1219,107,8.78
2023,100359,355,35,9.86
2023,100363,1552,151,9.73
2023,100444,393,45,11.45
2023,100445,6999,704,10.06
2023,100447,1232,110,8.93
2023,100450,2844,292,10.27
2023,100451,1062,113,10.64
2023,100453,364,39,10.71
2023,100455,583,66,11.32
2023,100457,406,46,11.33
2023,100462,2045,246,12.03
2023,100475,326,36,11.04
2023,100478,302,27,8.94
2023,100486,1098,111,10.11
2023,100487,27,1,3.70
2023,100488,4069,394,9.68
2023,100489,988,101,10.22
2023,100491,4312,430,9.97
2023,100493,314,31,9.87
2023,100496,987,105,10.64
2023,100498,795,83,10.44
2023,100509,68,6,8.82
2023,100514,976,95,9.73
2023,100515,3428,325,9.48
2023,100518,143,14,9.79
2023,100532,295,25,8.47
